========================================================
       MARATHON 28,000,000 RUNS PERFORMANCE LOG         
========================================================
Run_Index	Scalar_ns	AVX2_ns	Speedup
370	63229	56705	1.12x
371	63228	72931	0.87x
372	63148	55960	1.13x
373	63286	55811	1.13x
374	63189	56705	1.11x
375	63181	56654	1.12x
376	63221	56847	1.11x
377	63179	56733	1.11x
378	63074	56882	1.11x
379	63167	56728	1.11x
380	63183	56703	1.11x
381	63187	56774	1.11x
382	63186	67703	0.93x
383	51737	45624	1.13x
384	51750	46463	1.11x
385	51719	46421	1.11x
386	51719	46449	1.11x
387	51758	46450	1.11x
388	51665	46395	1.11x
389	51720	45622	1.13x
390	51792	45691	1.13x
391	51725	46364	1.12x
392	51627	46497	1.11x
393	51699	46299	1.12x
394	51755	46465	1.11x
395	51674	46461	1.11x
396	51612	45774	1.13x
397	51721	46369	1.12x
398	51718	46387	1.11x
399	51632	45738	1.13x
400	51709	46344	1.12x
401	51697	46377	1.11x
402	51688	46453	1.11x
403	51633	46537	1.11x
404	51670	46330	1.12x
405	51693	46507	1.11x
406	51651	46437	1.11x
407	58570	45763	1.28x
408	51700	46451	1.11x
409	51619	46541	1.11x
410	51727	46424	1.11x
411	51713	46347	1.12x
412	51797	46506	1.11x
413	51750	46383	1.12x
414	51731	46363	1.12x
415	51700	46389	1.11x
416	51726	45674	1.13x
417	51709	45687	1.13x
418	51614	46388	1.11x
419	51660	46382	1.11x
420	51720	46527	1.11x
421	51676	46375	1.11x
422	51634	46477	1.11x
423	51622	45745	1.13x
424	51686	46466	1.11x
425	51609	46338	1.11x
426	51720	46411	1.11x
427	51618	46432	1.11x
428	51722	45631	1.13x
429	51710	45649	1.13x
430	51757	46364	1.12x
431	51617	46461	1.11x
432	51676	46474	1.11x
433	51646	46495	1.11x
434	51745	46418	1.11x
435	51716	45816	1.13x
436	51681	46400	1.11x
437	51697	46360	1.12x
438	51656	46445	1.11x
439	51606	46450	1.11x
440	51657	46465	1.11x
441	51736	46443	1.11x
442	51750	46398	1.12x
443	51770	45643	1.13x
444	51654	46414	1.11x
445	58565	45770	1.28x
446	51740	46455	1.11x
447	51738	46370	1.12x
448	51699	45762	1.13x
449	51674	45699	1.13x
450	59191	38645	1.53x
451	43708	39336	1.11x
452	43685	39205	1.11x
453	43758	39225	1.12x
454	43728	39243	1.11x
455	43782	39377	1.11x
456	43731	42560	1.03x
457	71001	74378	0.95x
458	79296	38763	2.05x
459	43788	39304	1.11x
460	43769	39321	1.11x
461	43738	39266	1.11x
462	43770	39328	1.11x
463	43679	38683	1.13x
464	43732	38636	1.13x
465	43716	38702	1.13x
466	43750	38690	1.13x
467	51594	38734	1.33x
468	43764	38639	1.13x
469	43783	57346	0.76x
470	47385	41865	1.13x
471	47377	41815	1.13x
472	47376	41874	1.13x
473	60186	38656	1.56x
474	43792	39371	1.11x
475	43695	39375	1.11x
476	43673	39269	1.11x
477	43731	39278	1.11x
478	43827	39295	1.12x
479	43729	38712	1.13x
480	43717	38720	1.13x
481	43737	39270	1.11x
482	43746	39282	1.11x
483	43720	39275	1.11x
484	43672	38667	1.13x
485	43767	38720	1.13x
486	43804	39322	1.11x
487	65663	38815	1.69x
488	43821	39280	1.12x
489	43831	39294	1.12x
490	43780	38627	1.13x
491	43747	39281	1.11x
492	43732	39313	1.11x
493	43711	39372	1.11x
494	43771	39303	1.11x
495	43746	39300	1.11x
496	43792	39295	1.11x
497	43757	39214	1.12x
498	43779	38645	1.13x
499	43736	39272	1.11x
500	43698	38728	1.13x
501	43870	38699	1.13x
502	43783	38578	1.13x
503	43711	39317	1.11x
504	43752	39245	1.11x
505	43741	39228	1.12x
506	43797	38622	1.13x
507	43736	39235	1.11x
508	43790	38615	1.13x
509	43724	39238	1.11x
510	43731	39215	1.12x
511	43742	38697	1.13x
512	43715	39280	1.11x
513	43775	39299	1.11x
514	43767	38770	1.13x
515	57270	35894	1.60x
516	40618	36021	1.13x
517	40625	35917	1.13x
518	40688	36408	1.12x
519	40577	36513	1.11x
520	40598	35909	1.13x
521	40660	35919	1.13x
522	40610	35922	1.13x
523	40669	36438	1.12x
524	47903	40212	1.19x
525	40691	36534	1.11x
526	40674	36455	1.12x
527	40651	36498	1.11x
528	40631	36567	1.11x
529	40570	35941	1.13x
530	40657	35855	1.13x
531	40660	36466	1.12x
532	40591	35836	1.13x
533	48762	35919	1.36x
534	40593	35959	1.13x
535	40621	35857	1.13x
536	40616	35875	1.13x
537	40609	35837	1.13x
538	40630	36427	1.12x
539	40558	36539	1.11x
540	40621	36423	1.12x
541	40602	36566	1.11x
542	40667	35891	1.13x
543	40646	36536	1.11x
544	40565	36519	1.11x
545	40601	35892	1.13x
546	40619	35899	1.13x
547	40551	35885	1.13x
548	40643	35853	1.13x
549	40703	36456	1.12x
550	40612	36468	1.11x
551	40587	36528	1.11x
552	40566	36480	1.11x
553	40575	36487	1.11x
554	40607	40896	0.99x
555	40722	35911	1.13x
556	40588	35878	1.13x
557	40620	35852	1.13x
558	40543	36479	1.11x
559	40620	35875	1.13x
560	40625	35888	1.13x
561	40645	35882	1.13x
562	40586	35924	1.13x
563	40591	36512	1.11x
564	40618	36511	1.11x
565	40603	36506	1.11x
566	40578	36512	1.11x
567	40656	36516	1.11x
568	40578	36021	1.13x
569	40637	35897	1.13x
570	40569	36493	1.11x
571	40621	36423	1.12x
572	40594	35940	1.13x
573	40692	36425	1.12x
574	40518	35899	1.13x
575	40658	36510	1.11x
576	40623	35850	1.13x
577	40599	35842	1.13x
578	40599	35942	1.13x
579	40617	36509	1.11x
580	40662	36451	1.12x
581	40596	44323	0.92x
582	40599	35886	1.13x
583	40738	35960	1.13x
584	40615	35953	1.13x
585	40655	35866	1.13x
586	40635	35838	1.13x
587	40641	36448	1.12x
588	40593	35881	1.13x
589	40604	35850	1.13x
590	40585	35920	1.13x
591	40576	36481	1.11x
592	40631	35888	1.13x
593	40639	36483	1.11x
594	40564	36480	1.11x
595	40550	35908	1.13x
596	40638	35832	1.13x
597	40659	35878	1.13x
598	40580	35897	1.13x
